Date,Open,High,Low,Close,Adj Close,Volume
2012-04-13,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-16,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-17,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-18,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-19,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-20,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-23,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-24,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-25,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-26,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-27,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-30,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-02,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-03,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-04,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-07,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-08,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-09,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-10,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-11,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-14,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-15,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-16,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-17,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-18,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-21,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-22,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-23,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-24,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-25,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-28,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-29,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-30,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-05-31,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-06-01,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-06-04,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-06-05,210.0,210.0,210.0,210.0,209.70001200000002,23.0
2012-06-06,249.5,249.5,249.5,249.5,249.143585,0.0
2012-06-07,249.5,249.5,249.5,249.5,249.143585,0.0
2012-06-08,249.5,249.5,249.5,249.5,249.143585,0.0
2012-06-11,249.5,249.5,249.5,249.5,249.143585,0.0
2012-06-12,249.5,249.5,249.5,249.5,249.143585,0.0
2012-06-13,249.5,249.5,249.5,249.5,249.143585,0.0
2012-06-14,237.5,237.5,237.5,237.5,237.160721,10.0
2012-06-15,237.5,237.5,237.5,237.5,237.160721,0.0
2012-06-18,237.5,237.5,237.5,237.5,237.160721,13.0
2012-06-19,237.5,237.5,237.5,237.5,237.160721,0.0
2012-06-20,237.5,237.5,237.5,237.5,237.160721,0.0
2012-06-21,262.5,262.5,262.5,262.5,262.125,8.0
2012-06-22,262.5,262.5,262.5,262.5,262.125,0.0
2012-06-25,262.5,262.5,262.5,262.5,262.125,0.0
2012-06-26,263.0,263.0,263.0,263.0,262.624298,102.0
2012-06-27,311.5,311.5,311.5,311.5,311.055023,3.0
2012-06-28,312.5,312.5,312.5,312.5,312.053589,6.0
2012-06-29,349.5,349.5,349.5,349.5,349.00073199999997,5.0
2012-07-02,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-03,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-04,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-05,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-06,349.5,349.5,349.5,349.5,349.00073199999997,2.0
2012-07-09,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-10,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-11,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-12,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-13,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-16,349.5,349.5,349.5,349.5,349.00073199999997,0.0
2012-07-17,200.0,200.0,200.0,200.0,199.714294,4.0
2012-07-18,200.0,200.0,200.0,200.0,199.714294,0.0
2012-07-19,200.0,200.0,200.0,200.0,199.714294,0.0
2012-07-20,200.0,200.0,200.0,200.0,199.714294,0.0
2012-07-23,200.0,200.0,200.0,200.0,199.714294,0.0
2012-07-24,200.0,200.0,200.0,200.0,199.714294,0.0
2012-07-25,200.0,200.0,200.0,200.0,199.714294,0.0
2012-07-26,200.0,200.0,200.0,200.0,199.714294,0.0
