,Mean Volume,Momentum,Outlier
AM,9214.75,0.3190929741362134,False
ENX,116586.75,0.31926707384786224,False
FALG,24996.5,0.3237011722974432,True
SDG,5000.333333333333,0.32567849686847583,False
MUN,108764.0,0.330357142857143,True
ITP,13168.5,0.33571258957131445,False
AKA,17838.083333333332,0.3510365711623571,False
OPN,6858.0,0.35625965996908815,False
DPAM,11.916666666666666,0.35678391959798983,True
ELE,30581.083333333332,0.36054421768707523,True
WLN,91051.83333333333,0.37231072425685685,False
MAU,115313.08333333333,0.3746397694524495,True
CGM,5038.916666666667,0.3782302270947535,False
FNAC,37680.583333333336,0.37984496124030964,False
RUI,165074.0,0.3829331046312183,False
CGR,406.0,0.382978723404255,True
FEM,5531.666666666667,0.38391289076220514,True
CDI,28219.166666666668,0.38559237944036506,False
ARG,2323.6666666666665,0.38664946791357613,False
ATEME,32732.666666666668,0.3870967741935487,False
MONC,0.08333333333333333,0.3883060786929471,True
HXL,0.0,0.396276595744681,True
DLT,1296.8333333333333,0.40039447731755407,False
AREIT,2.3333333333333335,0.408392016334014,True
RBT,440.5833333333333,0.4147727272727275,True
BELI,3851.0833333333335,0.41831683168316847,False
VLA,157186.91666666666,0.42181818181818187,False
DVT,4992.416666666667,0.4299579424134583,False
AUB,13031.75,0.4336917562724014,False
CAFO,1511.25,0.43393393393393365,True
BEN,91111.08333333333,0.4403071017274476,False
PCA,12339.666666666666,0.441358024691358,True
ARTO,1.5,0.4448203758353222,True
HDP,86.16666666666667,0.4569536423841063,True
FINM,1037.0,0.4588235294117644,True
COFA,142653.41666666666,0.46518105849582225,False
MRN,33091.833333333336,0.4716981132075475,False
LPE,1287.4166666666667,0.47849462365591466,True
LAT,210390.16666666666,0.4861878453038677,False
ADP,91090.16666666667,0.4895875867701103,False
TVRB,82.75,0.4970059880239521,True
VALE3,766.5833333333334,0.49740259740259796,True
GTT,47980.583333333336,0.4983950977531364,False
LOUP,1023.6666666666666,0.5049648324369054,True
EO,945718.0,0.5127175368139225,False
LACR,1647.75,0.5170603674540684,False
PHA,2299.9166666666665,0.517295597484277,False
SX,2947.0,0.5188284518828454,False
EDF,4210059.416666667,0.5196973649882601,False
INN,4491.5,0.5371214838346059,False
CBE,0.5833333333333334,0.5397082658022692,True
SFBS,23.916666666666668,0.5412844036697251,True
KEY,12328.166666666666,0.5414012738853495,False
IDIP,2210.0,0.5531776913099866,False
XPO,180.0,0.5612244897959182,True
IGE,313.25,0.5893333333333333,True
EDI,1241.25,0.5894039735099339,True
FLO,435924.8333333333,0.5954052329291646,True
NRX,5311.333333333333,0.6072709878019611,True
TRI,19374.666666666668,0.6115404430705824,False
ASP,11039.916666666666,0.6129032258064508,False
BLC,4298.083333333333,0.6181336863004627,False
SEC,2466.6666666666665,0.6268656716417913,True
EPS,24589.666666666668,0.6315789473684208,False
EBPF,0.0,0.636363636363636,True
SIPH,767.5,0.6377983063895307,True
BAIN,1339.6666666666667,0.6596434359805514,False
DBG,281034.1666666667,0.6685623293903549,True
KER,186354.58333333334,0.6854682832542602,False
SOI,114680.33333333333,0.7307692307692304,False
WAVE,1560.4166666666667,0.7309090909090905,False
CAPLI,1410.75,0.7351942663145978,False
EFI,260.8333333333333,0.7857142857142854,True
GAM,2390.9166666666665,0.7950435365036828,False
FIPP,39381.666666666664,0.8000000000000003,True
AUGR,314.0833333333333,0.8214285714285712,True
UBI,799195.5833333334,0.8220689655172417,False
AURS,3689.1666666666665,0.9867408041060737,False
OFP,3231.8333333333335,1.0,True
RIB,111185.41666666667,1.0804597701149432,False
QUA,19153.666666666668,1.1082024432809772,False
BIG,52122.333333333336,1.207667731629393,False
GRVO,369.0833333333333,1.3285899094437248,True
GUI,52576.416666666664,1.7000000000000006,False
CIB,1339920.0,1.7699999999999996,False
EOS,14128.25,1.882681564245809,True
RX,218620.83333333334,1.9750692520775623,True
CATG,361277.75,2.0,False
ATA,3139676.1666666665,2.0380952380952393,False
VRNL,54.583333333333336,2.044444444444446,True
XIL,13704.916666666666,2.1327697662854295,False
ERA,76534.41666666667,2.2568651825064974,False
AVT,562800.8333333334,3.6500000000000004,True
