Date,Close,High,Low,Open,Volume
2016-05-25,0.09,0.09,0.08,0.08,1340
2016-05-26,0.1,0.1,0.08,0.08,182150
2016-05-27,0.09,0.09,0.09,0.09,9000
2016-05-30,0.09,0.1,0.09,0.09,45750
2016-05-31,0.1,0.1,0.09,0.09,15500
2016-06-01,0.1,0.1,0.1,0.1,0
2016-06-02,0.09,0.09,0.08,0.09,1092792
2016-06-03,0.09,0.09,0.08,0.08,33500
2016-06-06,0.09,0.09,0.09,0.09,22000
2016-06-07,0.09,0.09,0.08,0.08,311933
2016-06-08,0.08,0.09,0.08,0.09,387
2016-06-09,0.08,0.08,0.08,0.08,1818
2016-06-10,0.08,0.08,0.08,0.08,1226
2016-06-13,0.08,0.08,0.08,0.08,145772
2016-06-14,0.07,0.07,0.07,0.07,66767
2016-06-15,0.07,0.07,0.07,0.07,8000
2016-06-16,0.07,0.07,0.07,0.07,102200
2016-06-17,0.07,0.07,0.07,0.07,2496
2016-06-20,0.07,0.09,0.06,0.07,415330
2016-06-21,0.07,0.07,0.06,0.07,86750
2016-06-22,0.06,0.07,0.06,0.07,87962
2016-06-23,0.07,0.07,0.07,0.07,3000
2016-06-24,0.07,0.07,0.06,0.06,120661
2016-06-27,0.07,0.07,0.06,0.06,95159
2016-06-28,0.07,0.07,0.06,0.06,10300
2016-06-29,0.06,0.06,0.06,0.06,25550
2016-06-30,0.06,0.06,0.06,0.06,29000
2016-07-01,0.06,0.07,0.06,0.06,49550
2016-07-04,0.06,0.06,0.06,0.06,0
2016-07-05,0.06,0.06,0.06,0.06,0
2016-07-06,0.06,0.06,0.06,0.06,400
2016-07-07,0.06,0.06,0.06,0.06,53500
2016-07-08,0.05,0.06,0.05,0.06,110009
2016-07-11,0.05,0.05,0.05,0.05,0
2016-07-12,0.05,0.05,0.05,0.05,500
2016-07-13,0.06,0.06,0.05,0.05,88300
2016-07-14,0.06,0.07,0.05,0.06,259131
2016-07-15,0.06,0.06,0.06,0.06,0
2016-07-18,0.06,0.06,0.06,0.06,0
2016-07-19,0.04,0.05,0.04,0.05,584971
2016-07-20,0.04,0.05,0.04,0.04,82672
2016-07-21,0.04,0.04,0.04,0.04,16000
2016-07-22,0.04,0.04,0.04,0.04,44100
2016-07-25,0.04,0.04,0.04,0.04,16971
2016-07-26,0.04,0.05,0.04,0.04,47650
2016-07-27,0.04,0.04,0.04,0.04,0
2016-07-28,0.04,0.04,0.03,0.04,56332
2016-07-29,0.04,0.04,0.04,0.04,5000
2016-08-01,0.04,0.04,0.03,0.03,28374
2016-08-02,0.03,0.03,0.03,0.03,117936
2016-08-03,0.04,0.04,0.04,0.04,2500
2016-08-04,0.04,0.04,0.04,0.04,0
2016-08-05,0.04,0.04,0.03,0.04,10909
2016-08-08,0.05,0.05,0.03,0.03,267417
2016-08-09,0.04,0.04,0.04,0.04,9000
2016-08-10,0.04,0.04,0.04,0.04,0
2016-08-11,0.04,0.04,0.04,0.04,1000
2016-08-12,0.05,0.05,0.05,0.05,1000
2016-08-15,0.05,0.05,0.05,0.05,8500
2016-08-16,0.05,0.05,0.05,0.05,0
2016-08-17,0.04,0.04,0.04,0.04,4029
2016-08-18,0.04,0.05,0.04,0.05,208
2016-08-19,0.04,0.05,0.04,0.05,5185
2016-08-22,0.04,0.04,0.04,0.04,0
2016-08-23,0.05,0.05,0.04,0.04,6751
2016-08-24,0.05,0.06,0.04,0.04,614418
2016-08-25,0.04,0.06,0.04,0.05,45000
2016-08-26,0.06,0.06,0.05,0.05,8700
2016-08-29,0.05,0.06,0.05,0.06,26850
2016-08-30,0.05,0.06,0.05,0.05,52822
2016-08-31,0.05,0.05,0.05,0.05,62821
2016-09-01,0.06,0.06,0.04,0.05,795350
2016-09-02,0.04,0.06,0.04,0.06,969145
2016-09-05,0.05,0.05,0.04,0.04,225240
2016-09-06,0.05,0.05,0.05,0.05,0
2016-09-07,0.05,0.05,0.05,0.05,0
2016-09-08,0.05,0.05,0.05,0.05,0
2016-09-09,0.03,0.05,0.03,0.05,1381830
2016-09-12,0.04,0.04,0.04,0.04,84275
2016-09-13,0.04,0.04,0.04,0.04,27500
2016-09-14,0.03,0.04,0.03,0.04,64699
2016-09-15,0.03,0.03,0.03,0.03,0
2016-09-16,0.04,0.04,0.04,0.04,1015
2016-09-19,0.04,0.04,0.03,0.04,147552
2016-09-20,0.03,0.04,0.03,0.04,16900
2016-09-21,0.03,0.03,0.03,0.03,0
2016-09-22,0.04,0.04,0.03,0.04,36065
2016-09-23,0.04,0.04,0.04,0.04,25000
2016-09-26,0.04,0.04,0.04,0.04,0
2016-09-27,0.04,0.04,0.04,0.04,0
2016-09-28,0.04,0.04,0.03,0.03,24390
2016-09-29,0.04,0.04,0.04,0.04,0
2016-09-30,0.04,0.04,0.04,0.04,0
